,event_id,event_name,dcat_id,dcat,athlete_id,athlete_name,athlete_country,round,score,comp_id,birthday,gender,first_season
0,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,13021,SANDERS Annie,USA,Qualification,84.3,14057,2007-07-22,female,2021
1,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,13021,SANDERS Annie,USA,Semi-final,69.3,14057,2007-07-22,female,2021
2,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,13021,SANDERS Annie,USA,Final,54.7,14057,2007-07-22,female,2021
3,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11462,BERTONE Oriane,FRA,Qualification,84.8,14057,2005-03-10,female,2019
4,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11462,BERTONE Oriane,FRA,Semi-final,84.7,14057,2005-03-10,female,2019
5,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11462,BERTONE Oriane,FRA,Final,44.9,14057,2005-03-10,female,2019
6,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11468,MCNEICE Erin,GBR,Qualification,84.2,14057,2004-04-06,female,2019
7,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11468,MCNEICE Erin,GBR,Semi-final,44.9,14057,2004-04-06,female,2019
8,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,11468,MCNEICE Erin,GBR,Final,44.8,14057,2004-04-06,female,2019
9,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2327,NAKAMURA Mao,JPN,Qualification,84.5,14057,2000-03-02,female,2015
10,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2327,NAKAMURA Mao,JPN,Semi-final,45.0,14057,2000-03-02,female,2015
11,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2327,NAKAMURA Mao,JPN,Final,44.4,14057,2000-03-02,female,2015
12,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2294,NONAKA Miho,JPN,Qualification,75.0,14057,1997-05-21,female,2013
13,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2294,NONAKA Miho,JPN,Semi-final,54.7,14057,1997-05-21,female,2013
14,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2294,NONAKA Miho,JPN,Final,44.1,14057,1997-05-21,female,2013
15,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,14008,SEKIKAWA Melody,JPN,Qualification,84.8,14057,2007-07-30,female,2022
16,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,14008,SEKIKAWA Melody,JPN,Semi-final,69.3,14057,2007-07-30,female,2022
17,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,14008,SEKIKAWA Melody,JPN,Final,29.6,14057,2007-07-30,female,2022
18,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2080,SEO Chaehyun,KOR,Qualification,74.7,14057,2003-11-01,female,2017
19,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2080,SEO Chaehyun,KOR,Semi-final,39.4,14057,2003-11-01,female,2017
20,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2080,SEO Chaehyun,KOR,Final,19.6,14057,2003-11-01,female,2017
21,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2501,MACKENZIE Oceania,AUS,Qualification,84.5,14057,2002-07-11,female,2016
22,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2501,MACKENZIE Oceania,AUS,Semi-final,69.5,14057,2002-07-11,female,2016
23,1405,IFSC World Cup Keqiao 2025,7,BOULDER Women,2501,MACKENZIE Oceania,AUS,Final,9.9,14057,2002-07-11,female,2016
24,1408,IFSC World Cup Curitiba 2025,7,BOULDER Women,11621,MEIGNAN Naïlé,FRA,Qualification,109.6,14087,2003-12-18,female,2017
